CODIGO,TITULO,SINONIMOS,SINONIMOS_ENG
111255,Vice-prefeito,,"the JSON object must be str, bytes or bytearray, not NoneType"
111305,Ministro do supremo tribunal federal,,"the JSON object must be str, bytes or bytearray, not NoneType"
111310,Ministro do superior tribunal de justiça,,"the JSON object must be str, bytes or bytearray, not NoneType"
111315,Ministro do  superior tribunal militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
111320,Ministro do  superior tribunal do trabalho,"Juiz do tribunal regional do trabalho, Juiz federal  de segunda  instância","Judge of the Regional Labor Court, federal judge of second instance"
111325,Juiz de direito,"Desembargadores, Juiz de alçada, Juiz de direito de primeira instância","Judges, Judge, Judge of First Instance"
111330,Juiz federal,Juiz do tribunal regional federal,Judge of the Federal Regional Court
111335,Juiz auditor federal - justiça militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
111340,Juiz auditor estadual - justiça militar,Juiz dos tribunais militares estaduais,Judge of State Military Courts
111345,Juiz do trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
111405,Dirigente do serviço público federal,"Conselheiro (diplomacia), Coordenador  do serviço público federal, Coordenador geral do serviço público federal, Diretor do serviço público federal, Funcionário público federal superior, Gerente do serviço público federal, Ministro (diplomacia), Secretário de estado (serviço público federal), Secretário (diplomacia), Subsecretário de estado (serviço público federal)","Counselor (Diplomacy), Federal Public Service Coordinator, General Coordinator of the Federal Public Service, Director of the Federal Public Service, Federal Public Officer, Federal Public Service Manager, Minister (Diplomacy), Secretary of State (Federal Public Service), Secretary(diplomacy), Under -Secretary of State (Federal Public Service)"
111410,Dirigente do serviço público estadual e distrital,"Chefe do serviço público estadual e distrital, Coordenador do serviço público estadual e distrital, Funcionário público estadual e distrital superior, Gerente do serviço público estadual e distrital, Secretário estadual e distrital (serviço público estadual e distrital)","Head of the State and District Public Service, Coordinator of the State and District Public Service, State Public Officer and Higher District, State and District Public Service Manager, State and District Secretary (State and District Public Service)"
111415,Dirigente do serviço público municipal,"Chefe de assessoria técnica do serviço público municipal, Chefe de gabinete do serviço público municipal, Diretor de departamento do  serviço público municipal, Diretor de divisão do serviço público municipal, Funcionário público municipal superior, Secretário municipal (serviço público municipal)","Head of Technical Advisory of the Municipal Public Service, Chief of Staff of the Municipal Public Service, Director of Department of the Municipal Public Service, Director of Division of the Municipal Public Service, Municipal Public Officer, Municipal Secretary (Municipal Public Service)"
111505,Especialista de políticas públicas e gestão governamental - eppgg,,"the JSON object must be str, bytes or bytearray, not NoneType"
111510,Analista de planejamento e orçamento - apo,,"the JSON object must be str, bytes or bytearray, not NoneType"
113005,Cacique,"Morubixaba, Tuxaua","Morubixaba, Tuxaua"
113010,Líder de comunidade caiçara,,"the JSON object must be str, bytes or bytearray, not NoneType"
113015,Membro de liderança quilombola,"Coordenador de associação quilombola, Líder quilombola","Quilombola Association Coordinator, Quilombola leader"
114105,Dirigente de partido político,"Assessor político partidário, Assessr, Dirigente partidário, Dirigente político, Líder partidário","Party Political Advisor, Assessr, Party leader, political leader, party leader"
114205,Dirigente de entidade de trabalhadores,"Assistente sindical de entidades de trabalhadores, Diretor de sindicato de trabalhadores","Union Assistant of Workers Entities, Director of Workers Union"
114210,Dirigente de entidade patronal,"Assistente sindical de entidades patronais, Diretor de sindicato patronal","Union assistant of employer entities, director of employer union"
114305,Dirigente e administrador de organização religiosa,"Coordenador de entidade religiosa, Diretor de entidade religiosa, Gestor de entidade religiosa, Secretário-executivo de entidade religiosa","Coordinator of religious entity, director of religious entity, manager of religious entity, executive secretary of religious entity"
114405,Dirigente e administrador de organização da sociedade civil sem fins lucrativos,"Dirigente de clube e associação esportiva, Dirigente de organização de defesa de direitos, Dirigente de organização de desenvolvimento cultural, Dirigente de organização de proteção ao meio ambiente, Dirigente de organização filantrópica, Dirigente de organização humanitária, Dirigente de organização não-governamental","Club leader and sports association, leader of the defense of rights, leader of cultural development organization, leader of environmental protection organization, leader of philanthropic organization, leader of humanitarian organization, leader of non-governmental organization"
121005,Diretor de planejamento estratégico,,"the JSON object must be str, bytes or bytearray, not NoneType"
121010,Diretor geral de empresa e organizações (exceto de interesse público),,"the JSON object must be str, bytes or bytearray, not NoneType"
122105,Diretor de produção e operações em empresa agropecuária,Diretor de produção na agropecuária,Production Director at Agriculture
122110,Diretor de produção e operações em empresa aqüícola,,"the JSON object must be str, bytes or bytearray, not NoneType"
122115,Diretor de produção e operações em empresa florestal,Diretor de produção em empresa florestal,Production Director in Forest Company
122120,Diretor de produção e operações em empresa pesqueira,Diretor de produção em empresa pesqueira,Production Director in Pesqueira Company
122205,"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades","Diretor de produção em utilidades, Diretor de produção na indústria de transformação, Diretor de produção na mineração, Superintendente de operações industriais","Director of Production in Utilities, Production Director in the Transformation Industry, Production Director in Mining, Superintendent of Industrial Operations"
122305,Diretor de operações de obras pública e civil,"Diretor de contratos de obras pública e civil, Diretor de obras pública e civil, Diretor de produção de obras pública e civil, Superintendente de contratos de operações de obras pública e civil","Director of Public and Civil Works Contracts, Director of Public and Civil Works, Director of Production of Public and Civil Works, Superintendent of Public and Civil Works Operations Contracts"
122405,Diretor de operações comerciais (comércio atacadista e varejista),,"the JSON object must be str, bytes or bytearray, not NoneType"
122505,Diretor de  produção e operações de alimentação,,"the JSON object must be str, bytes or bytearray, not NoneType"
122510,Diretor de  produção e operações de hotel,,"the JSON object must be str, bytes or bytearray, not NoneType"
122515,Diretor de  produção e operações de turismo,,"the JSON object must be str, bytes or bytearray, not NoneType"
122520,Turismólogo,"Analista de turismo (turismólogo), Consultor em turismo (turismólogo), Gestor em turismo (turismólogo), Planejador de turismo (turismólogo)","Tourism Analyst (Turismologist), Tourism Consultant (Turismologist), Tourism Manager (Turismologist), Tourism Planner (Turismologist)"
122605,Diretor de operações de correios,"Coordenador geral de operações de correios, Diretor de correios","General Coordinator of Post Operations, Post Office Director"
122610,Diretor de operações de serviços de armazenamento,"Diretor de gestão portuária, Gerente de terminal em operações de armazenamento","Port Management Director, Terminal Manager in Storage Operations"
122615,Diretor de operações de serviços de telecomunicações,"Diretor de operações de radiodifusão, Diretor de redes (telecomunicações), Diretor regional (telecomunicações)","Director of Broadcasting Operations, Director of Network (Telecommunications), Regional Director (Telecommunications)"
122620,Diretor de operações de serviços de transporte,Diretor de logística em operações de transportes,Director of Logistics in Transport Operations
122705,Diretor comercial em operações de intermediação financeira,"Diretor adjunto comercial em operações de intermediação financeira, Diretor de plataforma em operações de intermediação financeira, Diretor regional em operações de intermediação financeira","Assistant Commercial Director in Financial Intermediation Operations, Platform Director in Financial Intermediation Operations, Regional Director in Financial Intermediation Operations"
122710,Diretor de produtos bancários,,"the JSON object must be str, bytes or bytearray, not NoneType"
122715,Diretor de crédito rural,,"the JSON object must be str, bytes or bytearray, not NoneType"
122720,Diretor de câmbio e comércio exterior,,"the JSON object must be str, bytes or bytearray, not NoneType"
122725,Diretor de compliance,,"the JSON object must be str, bytes or bytearray, not NoneType"
122730,Diretor de crédito (exceto crédito imobiliário),,"the JSON object must be str, bytes or bytearray, not NoneType"
122735,Diretor de crédito imobiliário,,"the JSON object must be str, bytes or bytearray, not NoneType"
122740,Diretor de leasing,,"the JSON object must be str, bytes or bytearray, not NoneType"
122745,Diretor de mercado de capitais,,"the JSON object must be str, bytes or bytearray, not NoneType"
122750,Diretor de recuperação de créditos em operações de intermediação financeira,,"the JSON object must be str, bytes or bytearray, not NoneType"
122755,Diretor de riscos de mercado,,"the JSON object must be str, bytes or bytearray, not NoneType"
123105,Diretor administrativo,Superintendente administrativo,Administrative superintendent
123110,Diretor administrativo e financeiro,Superintendente administrativo e financeiro,Administrative and Financial Superintendent
123115,Diretor financeiro,"Diretor de finanças, Diretor de planejamento financeiro, Superintendente de finanças, Superintendente financeiro","Finance Director, Financial Planning Director, Finance Superintendent, Financial Superintendent"
123205,Diretor de recursos humanos,Diretor de capital humano,Human capital director
123210,Diretor de relações de trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
123305,Diretor comercial,"Diretor de vendas, Diretor geral de vendas, Superintendente comercial, Vice-presidente comercial, Vice-presidente de vendas","Sales Director, Director General of Sales, Commercial Superintendent, Commercial Vice President, Vice President of Sales"
123310,Diretor de marketing,"Superintendente de marketing, Vice-presidente de marketing","Marketing Superintendent, Vice President of Marketing"
123405,Diretor de suprimentos,"Diretor de compras, Diretor de logística e de suprimentos","Purchasing Director, Director of Logistics and Supplies"
123410,Diretor de suprimentos no serviço público,,"the JSON object must be str, bytes or bytearray, not NoneType"
123605,Diretor de tecnologia da informação,"Diretor de informática, Diretor de infraestrutura de tecnologia da informação, Diretor de processos de tecnologia da informação, Diretor de serviços de informática, Diretor de serviços de tecnologia da informação, Diretor de tecnologia","Director of Computer Science, Director of Information Technology Infrastructure, Director of Information Technology Processes, Director of Computer Services, Director of Information Technology Services, Technology Director"
123705,Diretor de pesquisa e desenvolvimento (p&d),"Diretor de tecnologia (pesquisa e desenvolvimento), Diretor técnico (pesquisa e desenvolvimento), Superintendente de desenvolvimento de produtos e processos","Technology Director (Research and Development), Technical Director (Research and Development), Product and Process Development Superintendent"
123805,Diretor de manutenção,"Diretor de operações e manutenção, Superintendente de manutenção","Director of Operations and Maintenance, Maintenance Superintendent"
131105,Diretor de serviços culturais,"Diretor de biblioteca, Diretor de museu, Diretor de ong (organização não-governamental), Diretor de organização social e interesse público, Diretor de pesquisa, Diretor de relações interinstitucionais, Diretor executivo de instituições culturais, Superintendente de relações institucionais, Superintendente de serviços culturais","Library Director, Museum Director, NGO Director (Non-Governmental Organization), Director of Social Organization and Public Interest, Director of Research, Interinstitutional Relations Director, Cultural Institutions Director, Institutional Relations Superintendent, Superintendent of Cultural Services"
131110,Diretor de serviços sociais,"Diretor de departamento de esportes, Diretor de osip (organização social de interesse público)","Director of Sports Department, Director of OSIP (Social Organization of Public Interest)"
131115,Gerente de serviços culturais,"Administrador de instituições culturais, Coordenador de eventos, Coordenador executivo, Gerente de departamento de planejamento e análise, Gerente de departamento de planejamento e pesquisa, Gerente de divisão de pesquisas e análise, Gerente de ong (organização não-governamental), Gerente de planejamento e estatística, Superintendente de seção de estudos e programação, Superintendente de seção de estudos especiais","Administrator of Cultural Institutions, Event Coordinator, Executive Coordinator, Planning and Analysis Department Manager, Planning and Research Department Manager, Research and Analysis Division Manager, NGO (Non-Governmental Organization), Planning Manager andStatistics, Study and Programming Section Superintendent, Special Studies Section Superintendent"
131120,Gerente de serviços sociais,"Chefe de serviço de pesquisa e estatística, Coordenador de projetos sociais, Diretor de futebol, Gerente de organização social de interesse público, Gerente de pesquisas no ibge (instituto brasileiro de geografia e estatística)","Head of Research and Statistics Service, Social Project Coordinator, Football Director, Social Organization Manager of Public Interest, Research Manager at IBGE (Brazilian Institute of Geography and Statistics)"
131205,Diretor de serviços de saúde,"Diretor clínico, Diretor de departamento de saúde, Diretor de departamento médico, Diretor de divisão médica, Diretor de serviços médicos, Diretor de unidade assistencial, Diretor de unidade de saúde, Diretor de unidade hospitalar, Diretor médico-hospitalar, Diretor técnico de unidade hospitalar","Clinical Director, Director of Health Department, Medical Department Director, Director of Medical Division, Director of Medical Services, Director of Assistance Unit, Health Unit Director, Hospital Unit Director, Medical-Hospital Director, Technical Director of Hospital Unit"
131210,Gerente de serviços de saúde,"Administrador de ambulatório, Chefe de serviços de saúde, Gerente da área de saúde mental, Gerente de ambulatório, Gerente de apoio e diagnóstico de saúde, Gerente de enfermagem, Gerente de nutrição em unidades de saúde, Gerente de programas de saúde, Gerente de pronto-socorro","Outpatient Administrator, Health Services Head, Mental Health Manager, Ambulatory Manager, Health Support Manager and Diagnosis, Nursing Manager, Health Units Manager, Health Program Manager, Recent Manager-help"
131215,Tecnólogo em gestão hospitalar,,"the JSON object must be str, bytes or bytearray, not NoneType"
131220,Gerontólogo,,"the JSON object must be str, bytes or bytearray, not NoneType"
131225,Sanitarista,,"the JSON object must be str, bytes or bytearray, not NoneType"
131305,Diretor de instituição educacional da área privada,"Diretor adjunto de escolas privadas, Diretor de centro de educação infantil (creche e pré-escola) privado, Diretor de centro de formação profissional privado, Diretor de colégio privado, Diretor de escola privada, Diretor de escola religiosa privada, Diretor de estabelecimento de ensino fundamental privado, Diretor de estabelecimento de ensino médio privado, Diretor de estabelecimento de ensino superior privado, Diretor de internato privado, Diretor de unidade integrada de pré-escola privada, Subdiretor de ensino privado","Deputy Director of Private Schools, Director of Private Early Childhood Education Center (Nursery and Preschool), Director of Private Professional Training Center, Private College Director, Private School Director, Private Religious School Director, Director of Educational EstablishmentPrivate elementary school, director of private high school establishment, director of private higher education establishment, director of private boarding school, director of Integrated Private preschool unit, deputy director of private education"
131310,Diretor de instituição educacional pública,"Diretor de caic público, Diretor de centro de educação infantil público, Diretor de centro de ensino especial público, Diretor de centro de ensino fundamental público, Diretor de centro de ensino médio profissionalizante público, Diretor de centro de ensino médio público, Diretor de centro de ensino supletivo público, Diretor de colégio público, Diretor de escola de classe pública, Diretor de escola pública, Vice-diretor de centro de educação infantil público, Vice-diretor de centro de ensino especial público, Vice-diretor de centro de ensino fundamental público, Vice-diretor de centro de ensino médio, profissionalizante público, Vice-diretor de centro de ensino médio público, Vice-diretor de centro de ensino supletivo público, Vice-diretor de centro interescolar de línguas público, Vice-diretor de colégio público, Vice-diretor de escola de classe pública, Vice-diretor de escola pública, Vice-diretor de grupo escolar público","Director of CAIC Public, Director of Public Early Childhood Education Center, Director of Public Special Education Center, Director of Public Elementary School, Director of Public Professional High School, Director of Public High School, Director of CenterPublic Supplementary Education, Director of Public College, Director of Public Class School, Director of Public School, Deputy Director of Public Early Childhood Education Center, Deputy Director of Public Special Education Center, Deputy Director of Public Elementary School, Deputy Director of High School, Public Professional, Deputy Director of Public High School, Deputy Director of Public Supplementary Education Center, Deputy Director of Interescolar Public Languages, Deputy Director of Public College,Deputy principal of public class school, deputy principal of public school, deputy principal of public school group"
131315,Gerente de instituição educacional da área privada,"Chefe de centro de formação profissional privado, Chefe de departamento em escolas privadas, Gerente de apoio educacional em escolas privadas, Gerente de centro de educação profissional em escolas privadas, Gerente de centro de formação profissional em escolas privadas","Head of Private Professional Training Center, Department Head of Private Schools, Educational Support Manager in Private Schools, Professional Education Center Manager in Private Schools, Professional Training Center Manager in Private Schools"
131320,Gerente de serviços educacionais da área pública,,"the JSON object must be str, bytes or bytearray, not NoneType"
141105,Gerente de produção e operações  aqüícolas,,"the JSON object must be str, bytes or bytearray, not NoneType"
141110,Gerente de produção e operações  florestais,"Coordenador de produção de madeira, Gerente de departamento florestal, Gerente de produção florestal, Gerente operacional florestal","Madeira Production Coordinator, Forest Department Manager, Forest Production Manager, Forest Operational Manager"
141115,Gerente de produção e operações agropecuárias,"Gerente de agropecuária, Gerente de produção na agropecuária, Gerente operacional na agropecuária","Agriculture Manager, Production Manager at Agropecuária, Operational Manager at Agropecuária"
141120,Gerente de produção e operações pesqueiras,"Administrador de empresas de pesca, Gerente de empresa de pesca, Gerente de frota pesqueira","Fishing Companies Administrator, Fishing Company Manager, Fish Fleet Manager"
141205,Gerente de produção e operações,"Banguezeiro - empregador, Banguezista - empregador, Cervejeiro - empregador, Correeiro - empregador, Correiro - empregador, Corrieiro - empregador, Curtidor - empregador, Gerente de departamento de fabricação, Gerente de departamento de produção, Gerente de departamento industrial, Gerente de fábrica, Gerente de manufatura, Gerente de montagem, Gerente de processos, Gerente de produção, Gerente de unidade de fabricação, Gerente industrial, Joalheiro - na fabricação - empregador, Lombilheiro - empregador, Marmorista - exclusive na extração - empregador, Marmorista - na extração - empregador, Proprietário de areal - empregador, Proprietário de pedreira - empregador, Proprietário de porto de areia - empregador, Proprietário de saibreira - empregador, Proprietário de salina - empregador, Salineiro - empregador, Salineiro - na extração - empregador, Salineiro (empregador), Seleiro - na fabricação - empregador, Sócio-proprietário - na extração mineral - empregador, Sócio-proprietário de areal - empregador, Sócio-proprietário de pedreira - empregador, Sócio-proprietário de porto de areia - empregador, Sócio-proprietário de saibreira - empregador, Sócio-proprietário de salina - empregador, Talabarteiro - empregador (selas)","Banguezeiro - Employer, Banguezist - Employer, Breech - Employer, Correiro - Employer, Correiro - Employer, Race - Employer, Tanner - Employer, Manufacturing Department Manager, Production Department Manager, Industrial Department Manager, Factory Manager, ManagerManufacturing, Assembly Manager, Process Manager, Production Manager, Manufacturing Unit Manager, Industrial Manager, Jewelery - Manufacturing - Employer, Lombilment - Employer, Marbler - Exclusive in Extraction - Employer, Marbler - In Employer - Employer,Areal owner - employer, owner of quarry - employer, owner of sand port - employer, saiberreira owner - employer, saline owner - employer, saline - employer, saline - in extraction - employer, saline (employer), seleiro -In the manufacture - employer, partner -owner - in mineral extraction - employer, land -owner - employer, quarry -owner - employer, partner -owner of sand port - employer, partner -owner - employer, partner, partner- Saline Proprietary - Employer, Talabarteiro - Employer (Selas)"
141305,Gerente de produção e operações da construção civil e obras públicas,"Coordenador de obras (construção civil), Gerente de contratos (construção civil), Gerente de empresas de construção civil, Gerente de obras (construção civil)","Works Coordinator (Civil Construction), Contract Manager (Civil Construction), Construction Companies Manager, Works Manager (Civil Construction)"
141405,Comerciante atacadista,"Adeleiro  (comércio atacadista), Alfarrabista, Alheiro (comércio atacadista), Antiquário (comércio atacadista), Arborário, Armarinheiro (comércio atacadista), Armazenário (comércio atacadista), Armeiro (comércio atacadista), Arrombador - no comércio de gado - empregador, Arrombador (comércio de gado), Atacadista, Boiadeiro - no comércio de gado - empregador, Boiadeiro (comércio de gado), Boieiro, Comissário de café, Comissário de mercadorias, Distribuidor de fumo, Distribuidor de produtos químicos, Distribuidor de revistas, Exportador, Exportador - empregador, Grossista, Importador, Lojista  (comércio atacadista), Madeireiro (comércio atacadista), Marchante (comércio de gado), Negociante (comércio atacadista )","Adeiro (wholesale trade), alphabeth, alheiro (wholesale trade), antique (wholesaler trade), arboroário, hatter (wholesale trade), storage (wholesale trade), corner (wholesale trade), burglar - in cattle trade - employer, burglar(cattle trade), wholesaler, cattle - in cattle trade - employer, cattle (cattle trade), cowboy, coffee commissioner, goods commissioner, tobacco distribution, chemical distributor, magazine distributor, exporter, exporter, exporter- Employer, Grossa, importer, shopkeeper (wholesale trade), logger (wholesaler trade), Marchante (cattle trade), trader (wholesale trade)"
